fecha,titulo,descripcion,color,mes,año
2026-01-16,Termina Captura calificaciones, Captura de tercer parcial y Recuperación R1,#0b0daf,1,2026
2026-01-19,Inicia captura calificaciones, Captura de periodo extraordinario,#0b0daf,1,2026
2026-01-20,Captura calificaciones, Captura de periodo extraordinario,#0b0daf,1,2026
2026-01-21,Captura calificaciones, Captura de periodo extraordinario,#0b0daf,1,2026
2026-01-22,Captura calificaciones, Captura de periodo extraordinario,#0b0daf,1,2026
2026-01-23,Termina Captura calificaciones, Captura de periodo extraordinario,#0b0daf,1,2026
2026-01-26,Reinscripciones,Inicia periodo de reinscripciones para el semestre Febrero - Julio 2026,#9c27b0,1,2026
2026-01-27,Reinscripciones,Continua periodo de reinscripciones para el semestre Febrero - Julio 2026,#9c27b0,1,2026
2026-01-28,Reinscripciones,Continua periodo de reinscripciones para el semestre Febrero - Julio 2026,#9c27b0,1,2026
2026-01-29,Reinscripciones,Continua periodo de reinscripciones para el semestre Febrero - Julio 2026,#9c27b0,1,2026
2026-01-30,Reinscripciones,Termina periodo de reinscripciones para el semestre Febrero - Julio 2026,#9c27b0,1,2026
2026-02-02,Conmemoración de la constitución, Conmemoración de la Constitución Política de los Estados Unidos Mexicanos,#ff6900,2,2026
2026-02-03,Inicio de Semestre,Febrero - Julio 2026,#4287f5,2,2026
2026-02-25,Entrega de información,"Actas finales, expedientes, solicitud de credenciales, bajas, indicadores, actas de comités de calidad",#797d7f,2,2026
2026-02-26,Entrega de información,"Actas finales, expedientes, solicitud de credenciales, bajas, indicadores, actas de comités de calidad",#797d7f,2,2026
2026-02-27,Actualización reinscritos,Actualización de reinscritos en plataforma,#797d7f,2,2026

2026-02-10,Entrega de documentos,Entrega de documentos del primer parcial,#0ba14b,2,2026
2026-02-15,Reunión departamental,Reunión de docentes por departamento,#ff6900,2,2026
2026-03-01,Planeación mensual,Entrega de planeación mensual de marzo,#0ba14b,3,2026
2026-03-18,Visita empresarial,Visita a empresa local para estudiantes de 6º,#ff6900,3,2026
2026-04-05,Junta académica,Revisión de avances del primer parcial,#636566,4,2026
2026-04-20,Entrega de calificaciones,Captura de calificaciones en sistema,#0ba14b,4,2026
2026-05-08,Día de las madres,Conmemoración del día de las madres,#ff6900,5,2026
2026-05-15,Proyecto integrador,Inicio de proyecto integrador,#0ba14b,5,2026
2026-06-01,Evaluación docente,Periodo de evaluación docente,#636566,6,2026
2026-06-20,Cierre administrativo,Entrega de documentación administrativa final,#0ba14b,6,2026
